Name,Price,Author,Date,Publisher,Comment,sales
机器学习理论与应用——基于云教育环境 ,49,马长林,6/11/2019,清华大学出版社,8,252243
SQL机器学习库MADlib技术解析 ,62.4,王雪迎,1/14/2019,清华大学出版社,57,160817
神经网络与机器学习[原书第3版],62.4,海金,3/1/2011,机械工业出版社,4759,110454
机器学习算法,54.5,朱塞佩·博纳科尔索,5/30/2018,机械工业出版社,235,8859
应用机器学习方法度量在线品牌忠诚度模型构建研究 ,59,赵玮,7/1/2017,北京交通大学出版社,10,50797
Python机器学习 ,54.5,Michael,12/1/2016,人民邮电出版社,3462,187392
机器学习算法原理与编程实践,60.7,郑捷,10/1/2015,电子工业出版社,1821,167539
白话大数据与机器学习 ,54.5,高扬,6/15/2016,机械工业出版社,2173,43468
机器学习及其应用（英文版）,123.5,Gopal,12/1/2019,电子工业出版社,2,237317
面向机器学习的自然语言标注 ,73.4,普斯特若夫斯基,2/23/2017,机械工业出版社,242,79907
基于机器学习的行为识别技术研究 ,22.1,涂宏斌,9/26/2016,知识产权出版社,89,169022
李群机器学习,54.5,李凡长,4/1/2013,中国科学技术大学出版社,76,162996
机器学习经典算法实践,49,肖云鹏,7/19/2018,清华大学出版社,53,116545
机器学习：因子分解机模型与推荐系统,45.8,燕彩蓉,12/1/2019,科学出版社,33,215409
机器学习Web应用 ,46.6,Andrea,8/1/2017,人民邮电出版社,273,269982
机器学习视角的结构健康监测,149.3,Charles,3/1/2019,科学出版社,42,232712
机器学习经典算法剖析 ,54.5,赵春江,8/1/2018,人民邮电出版社,376,279139
基于复杂网络的机器学习方法 ,65.5,迪亚戈·克里斯蒂亚诺·席尔瓦,11/5/2018,机械工业出版社,494,16644
揭秘深度强化学习 ,61.1,彭伟,5/1/2018,水利水电出版社,2264,268012
大数据与机器学习：实践方法与行业案例 ,54.5,陈春宝,2/8/2017,机械工业出版社,475,227138
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现 ,63.5,何宇健,6/1/2017,电子工业出版社,3128,215400
机器学习之路——Caffe、Keras、scikit-learn实战 ,62.4,阿布,8/1/2017,电子工业出版社,740,288465
机器学习算法 ,85.3,朱塞佩·博纳科尔索,5/1/2019,东南大学出版社,17,16094
机器学习系统设计,33.8,里彻特,7/1/2014,人民邮电出版社,672,102350
机器学习与大数据技术 ,39.2,牟少敏,8/1/2018,人民邮电出版社,69,79745
机器学习实践 ,38.7,柯克,8/1/2015,人民邮电出版社,113,207233
机器学习实战：基于Sophon平台的机器学习理论与实践 ,62.4,星环科技人工智能平台团队,12/10/2019,机械工业出版社,32,82897
统计机器学习导论（英文版） ,96.8,杉山将,1/12/2018,机械工业出版社,75,219670
机器学习及应用（在线实验+在线自测）,47.7,李克清,5/1/2019,人民邮电出版社,22,267432
机器学习简明教程 ,56.5,汪荣贵,4/21/2020,机械工业出版社,1,189911
机器学习与安全（影印版）,68.3,克拉伦斯奇奥,11/1/2018,东南大学出版社,34,146749
Spark机器学习 ,78.2,拉结帝普·杜瓦,11/1/2018,人民邮电出版社,280,156183
人工智能开发实践：云端机器学习导论 ,61.4,挪亚·吉夫特,5/25/2020,机械工业出版社,2,170925
数据挖掘与机器学习——WEKA应用技术与实践（第二版） ,62.4,袁梅宇,8/1/2016,清华大学出版社,506,94005
Java机器学习 ,70.3,乌黛·卡马特,10/15/2018,机械工业出版社,167,78428
面向移动设备的机器学习 ,68.3,雷瓦西,6/1/2020,清华大学出版社,0,125572
Python机器学习经典实例 ,46.6,普拉提克·乔西,8/1/2017,人民邮电出版社,930,268783
Apache ,46.6,刘永川Alex,3/27/2017,机械工业出版社,200,262046
人工智能与机器学习（21世纪通识教育系列教材）,29.8,王秋月,1/2/2020,中国人民大学出版社,24,163821
数据挖掘：实用机器学习工具与技术（原书第4版） ,82.1,新西兰,3/15/2018,机械工业出版社,207,247608
【按需印刷】-机器学习理论与算法 ,86,张燕平,,科学出版社,8,124682
机器学习实践指南 ,46.6,尼格尔·刘易斯,4/1/2018,人民邮电出版社,91,69070
机器学习：实用技术指南,62.4,詹森·贝尔,5/5/2018,机械工业出版社,26,1543
神经网络与机器学习（英文版 ,54.5,海金,3/1/2009,机械工业出版社,826,267026
MATLAB与机器学习 ,62.4,迈克尔·帕拉斯泽克,2/25/2018,机械工业出版社,912,257572
Python机器学习与量化投资,62.4,何海群,12/1/2018,电子工业出版社,157,262592
Python机器学习 ,62.4,阿布舍克·维贾亚瓦吉亚,2/1/2019,人民邮电出版社,321,83602
Python数据挖掘与机器学习实战 ,62.4,方巍,6/5/2019,机械工业出版社,411,299786
PyTorch机器学习从入门到实战 ,46.6,校宝在线,10/30/2018,机械工业出版社,386,138290
Spark机器学习进阶实战 ,46.6,马海平,9/13/2018,机械工业出版社,146,43962
组合优化问题的机器学习求解方法,69.5,郭田德,12/1/2019,科学出版社,35,281719
